Gender,Age,Married,State,Number_of_Referrals,Tenure_in_Months,Value_Deal,Phone_Service,Multiple_Lines,Internet_Service,Internet_Type,Online_Security,Online_Backup,Device_Protection_Plan,Premium_Support,Streaming_TV,Streaming_Movies,Streaming_Music,Unlimited_Data,Contract,Paperless_Billing,Payment_Method,Monthly_Charge,Total_Charges,Total_Refunds,Total_Extra_Data_Charges,Total_Long_Distance_Charges,Total_Revenue
0,24.0,1,19,11.0,8.0,1,1,0,1,0,1,1,0,0,0,1,1,1,0,1,0,63.95000076293945,2737.050048828125,0.0,0.0,240.8000030517578,2977.85009765625
0,58.0,0,11,7.0,25.0,0,1,1,1,2,0,1,1,0,1,1,1,1,2,1,0,106.0,7723.7001953125,0.0,0.0,3361.139892578125,11084.83984375
1,74.0,0,4,3.0,4.0,2,0,0,1,1,0,1,1,0,0,0,0,1,2,0,0,36.650001525878906,1315.0,0.0,0.0,0.0,1315.0
0,63.0,0,6,6.0,23.0,1,1,0,1,0,1,1,1,0,0,0,0,1,2,1,1,61.29999923706055,3346.800048828125,0.0,0.0,1063.43994140625,4410.240234375
0,47.0,1,6,7.0,33.0,1,1,1,1,0,0,0,1,0,1,1,1,1,0,1,0,97.8499984741211,1105.4000244140625,0.0,0.0,303.2699890136719,1408.6700439453125
0,20.0,0,7,3.0,9.0,1,1,1,1,0,1,0,0,0,1,1,1,0,1,0,0,76.0,1588.75,7.300000190734863,70.0,305.79998779296875,1957.25
0,54.0,0,5,10.0,12.0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,20.299999237060547,511.25,0.0,0.0,346.8399963378906,858.0900268554688
0,33.0,0,10,0.0,36.0,4,1,1,1,2,0,1,0,0,1,1,1,1,0,1,1,99.30000305175781,918.75,0.0,0.0,43.290000915527344,962.0399780273438
0,53.0,1,10,7.0,10.0,4,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,55.5,227.35000610351562,0.0,0.0,155.83999633789062,383.19000244140625
0,55.0,1,9,5.0,33.0,1,1,1,1,2,1,0,1,0,1,0,0,1,1,1,0,95.4000015258789,5812.0,0.0,0.0,325.79998779296875,6137.7998046875
0,55.0,0,12,6.0,11.0,0,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,114.05000305175781,8289.2001953125,0.0,0.0,418.32000732421875,8707.51953125
0,34.0,0,9,6.0,20.0,1,1,1,1,2,0,1,1,1,0,0,0,1,0,1,1,92.69999694824219,1556.8499755859375,0.0,0.0,846.260009765625,2403.110107421875
0,43.0,1,15,9.0,7.0,1,1,1,1,0,0,1,0,0,0,1,1,0,0,1,0,91.1500015258789,2995.449951171875,0.0,0.0,1198.77001953125,4194.22021484375
0,77.0,0,11,11.0,17.0,1,0,0,1,1,1,1,0,0,0,0,0,0,2,1,1,33.45000076293945,1500.25,0.0,40.0,0.0,1540.25
0,21.0,1,21,3.0,6.0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,1,90.94999694824219,6652.4501953125,0.0,0.0,3287.52001953125,9939.9697265625
1,50.0,1,0,11.0,3.0,1,1,0,0,2,0,0,0,0,0,0,0,0,2,0,1,20.5,1191.4000244140625,36.91999816894531,0.0,1499.8800048828125,2654.360107421875
